"","study","vp","reward_b1","reward_b2","reward_b3","reward_b4","choice","rt"
"93","chakroun",1,61.0112561346962,64.821283790179,64.3226657104871,60.4136282727364,2,0.437245497108961
"94","chakroun",1,63.040676506787,64.2458188529113,59.9946886678662,61.8639908973639,2,0.471813853355343
"95","chakroun",1,61.6323912009259,63.6103743154999,55.0838178520574,59.4350234767544,2,0.37312138577181
"96","chakroun",1,59.370608443292,57.286844018286,54.1108237119894,58.7226415849234,3,0.355276971202329
"97","chakroun",1,60.0084908019451,65.9588960450686,59.6291103565804,68.7560012354524,2,0.309582207883068
"98","chakroun",1,59.6151054183848,62.9522132938908,54.7472390246782,64.1156192995255,2,0.483546328336161
"99","chakroun",1,60.8535601901636,65.3964526908004,54.443475725321,63.6824350436893,1,0.356787650482147
"100","chakroun",1,65.4238967053698,76.6257452127384,63.0013807159504,65.1923393931293,4,0.428024106235171
"101","chakroun",1,56.9148259584536,70.6262773409767,53.172696374521,62.1599379634529,4,0.532740678596383
"102","chakroun",1,64.1381895949722,75.4132838852715,55.7672116240281,62.7402209914041,2,0.471968005958843
"103","chakroun",1,68.7102046187372,80.4106371020038,60.7500461824057,66.8739961539444,2,0.385107335798239
"104","chakroun",1,64.3608303768936,76.1543604541934,58.1941841017685,69.3581983362586,2,0.65155962134304
"105","chakroun",1,60.5418459947654,66.7085721087003,46.5720520453567,60.6705198441071,2,0.458452728253178
"106","chakroun",1,69.6762714494196,81.2487043786083,52.5996470971849,63.2295987126243,2,0.426497260687029
"107","chakroun",1,58.1531663998541,72.9785494121087,39.8819249351564,53.1771189709431,2,0.401036160186777
"108","chakroun",1,62.3212698720531,85.2234745092884,54.8252571607762,66.3837136475524,2,0.374594142514979
"109","chakroun",1,47.946040632351,69.2983500734193,38.5300422553433,52.95361999211,2,0.362742753743078
"110","chakroun",1,52.0845745445092,78.0898019930002,45.674131653855,59.2869459477763,2,0.678244337261276
"111","chakroun",1,42.8922680730809,77.7918321992421,37.7363870106431,56.0409147229499,2,0.55312368855266
"112","chakroun",1,51.406307539719,83.3074470886135,51.6362844897735,66.3524615870244,2,0.393469856522643
"113","chakroun",1,47.1042784565421,79.4323389731078,48.9537241150522,67.0716460942994,2,0.357609273185517
"114","chakroun",1,37.3484730128321,70.5642641038217,43.7867476290321,60.4598779581814,2,0.413276629622487
"115","chakroun",1,40.9962629320258,70.408063112067,41.1794369801401,62.5420879618043,2,0.508783940065769
"116","chakroun",1,53.739892529849,79.0018472648332,50.5612288779378,74.1444685716667,2,0.489336817960066
"117","chakroun",1,46.5498466454933,70.4565570058927,40.3371271682711,67.0231339190936,2,0.66216619610168
"118","chakroun",1,50.5651621075924,73.7295821228878,43.3607970267535,69.779357093526,2,0.75570308407805
"119","chakroun",1,51.7467766870397,77.4252098604126,40.0693455734356,74.132236146658,2,0.482833004756685
"120","chakroun",1,51.4595836761574,72.5271256263109,34.8546335405723,67.4967138496289,2,0.601330907487863
"121","chakroun",1,53.9390736989934,72.8884328449859,33.4137355614928,70.8759578975812,2,0.523578036023537
"122","chakroun",1,56.0102917937119,69.8376327389293,34.886509293621,69.9954473187719,2,0.78916586232117
"123","chakroun",1,66.3479872353893,73.0071743492126,41.9460745678187,74.6958588369254,3,1.11074551743695
"124","chakroun",1,63.3063748722043,74.5568763243109,46.5623901441782,75.604519335519,2,0.670033585076453
"125","chakroun",1,62.6555816042122,70.6167162885254,43.5013803342718,67.9844853359905,2,0.542290830480852
